# time E1 E2 E3 W1 W2 W3 W4 W5 W6
156 -0.0004735 -0.0020332 -0.0015597 0.00017782 -0.00067683 -0.0018544 -0.0011979 -0.00087017 -0.00012184
157 -0.00047353 -0.0020336 -0.0015601 0.00017801 -0.00067645 -0.0018545 -0.0011979 -0.00087016 -0.00012176
158 -0.00047357 -0.002034 -0.0015605 0.00017825 -0.00067578 -0.0018546 -0.0011979 -0.00087017 -0.00012171
159 -0.00047359 -0.0020349 -0.0015613 0.00017723 -0.00067934 -0.0018564 -0.0011981 -0.00087008 -0.00012162
160 -0.00047366 -0.0020359 -0.0015622 0.0001762 -0.00068235 -0.0018579 -0.0011984 -0.00087018 -0.00012148
161 -0.0004737 -0.0020362 -0.0015624 0.00017645 -0.00068136 -0.0018577 -0.0011985 -0.00087024 -0.00012141
162 -0.00047377 -0.0020368 -0.001563 0.00017643 -0.00068225 -0.001858 -0.0011984 -0.0008702 -0.00012125
163 -0.00047378 -0.0020375 -0.0015637 0.00017585 -0.00068394 -0.001859 -0.0011985 -0.00087016 -0.00012114
164 -0.00047384 -0.0020382 -0.0015644 0.0001755 -0.00068516 -0.0018598 -0.0011987 -0.00087014 -0.000121
165 -0.00047385 -0.0020387 -0.0015648 0.00017533 -0.00068582 -0.0018601 -0.0011987 -0.00087018 -0.00012092
166 -0.00047387 -0.0020392 -0.0015654 0.00017514 -0.00068645 -0.0018606 -0.0011987 -0.00087006 -0.0001208
167 -0.00047394 -0.0020404 -0.0015664 0.0001733 -0.00069157 -0.0018632 -0.0011992 -0.00086998 -0.0001206
168 -0.00047396 -0.0020406 -0.0015667 0.0001735 -0.00069112 -0.0018629 -0.0011991 -0.00087003 -0.00012046
169 -0.00047398 -0.0020409 -0.0015669 0.00017376 -0.00069036 -0.0018627 -0.0011991 -0.00087002 -0.00012039
170 -0.000474 -0.0020418 -0.0015678 0.00017293 -0.00069336 -0.0018643 -0.0011991 -0.0008698 -0.00012023
171 -0.00047401 -0.0020427 -0.0015687 0.000172 -0.00069615 -0.0018656 -0.0011992 -0.00086974 -0.00011998
172 -0.00047402 -0.0020435 -0.0015694 0.00017137 -0.00069826 -0.0018664 -0.0011992 -0.00086968 -0.0001198
173 -0.00047403 -0.0020438 -0.0015698 0.00017172 -0.00069661 -0.0018662 -0.0011993 -0.00086971 -0.00011976
174 -0.00047409 -0.0020442 -0.0015701 0.00017195 -0.00069675 -0.001866 -0.0011992 -0.00086966 -0.0001196
175 -0.00047407 -0.0020453 -0.0015712 0.00016973 -0.000703 -0.0018691 -0.0011995 -0.00086947 -0.00011941
